ID,SalePrice
1461,131688.44399119093
1462,134226.48640530414
1463,169588.48367422586
1464,176078.87439047862
1465,249986.4184813308
1466,178427.08132109194
1467,167714.57426425593
1468,178357.34226779648
1469,166034.13185925124
1470,136714.78408147578
1471,190929.20446058403
1472,100649.03889256477
1473,103671.67939047472
1474,157897.4671671674
1475,141040.74922493045
1476,392935.5142140442
1477,286983.8638939825
1478,276160.5754593912
1479,285914.0938386686
1480,358006.3207946413
1481,290216.4336420686
1482,256363.54192812447
1483,189390.62359318553
1484,187962.6038470898
1485,188863.57211152013
1486,201824.03685444413
1487,290776.7562261666
1488,223860.5598425676
1489,234382.3870019378
1490,239089.32953115623
1491,205275.90247876255
1492,84273.23936043645
1493,133440.06810877332
1494,297486.6155161493
1495,301934.6102135408
1496,209515.40168143838
1497,172089.29481205647
1498,187877.46770844422
1499,167437.60833748005
1500,165869.19750730623
1501,174327.67513945923
1502,164969.64360060365
1503,240618.96238522552
1504,221681.78650658467
1505,228778.89095117152
1506,183688.91730201643
1507,204400.98995148926
1508,172219.95982586493
1509,186890.42145758955
1510,140468.86360867464
1511,139411.81775724937
1512,145166.24705510904
1513,141660.4891656757
1514,139161.67622675377
1515,190127.74374601833
1516,132915.29276047362
1517,132793.53188783876
1518,151664.36700232283
1519,186641.97230031283
1520,142420.2365822176
1521,137197.57081447827
1522,140419.6818229093
1523,149007.83076788238
1524,131829.875490175
1525,133199.98486549698
1526,130132.06691317547
1527,132386.83627182452
1528,147168.5560526657
1529,145009.9371881663
1530,142767.1248945044
1531,122304.86462749787
1532,101725.27545801879
1533,110320.19567693709
1534,121394.4391207271
1535,120681.71346646926
1536,115316.71378585511
1537,96527.99152979694
1538,159894.16798276565
1539,178323.463005987
1540,113199.59714388174
1541,126716.50107334579
1542,137149.3085393238
1543,131615.32870369844
1544,106416.49105934537
1545,134351.50213518902
1546,129757.3707121238
1547,130338.63475177962
1548,138667.63517309324
1549,138693.52260257094
1550,139601.59985984556
1551,109697.52672217647
1552,137157.2622954799
1553,179475.61061891925
1554,129424.46350571279
1555,189754.53421550817
1556,148830.09424112385
1557,99280.38213812117
1558,108876.44827270776
1559,124326.59652163238
1560,161781.39592377542
1561,86164.63431420433
1562,137028.34801138358
1563,136205.7074030895
1564,140310.9233084464
1565,145440.47642154578
